"Zeitstempel","How would you assess the clarity of the layout?","Please give us feedback regarding gamification (=spielerische Elemente) of our application. Would you recommend to increase or decrease gamifications in our application?","How do you feel about the overall structure? (content)","Please give us tips or recommendations regarding our structure","Additional suggestions for improvements"
"2024/10/28 2:53:02 PM MEZ","5","5","5","",""
"2024/10/28 2:53:04 PM MEZ","3","3","3","",""
"2024/10/28 2:53:07 PM MEZ","2","2","5","",""
"2024/10/28 2:53:07 PM MEZ","3","3","3","",""
"2024/10/28 2:53:11 PM MEZ","5","3","5","",""
"2024/10/28 2:53:18 PM MEZ","4","4","4","",""
"2024/10/28 2:53:25 PM MEZ","4","3","3","",""
"2024/10/28 2:53:25 PM MEZ","2","2","3","",""
"2024/10/28 2:53:28 PM MEZ","2","1","2","",""
"2024/10/28 2:53:32 PM MEZ","4","4","4","",""
"2024/10/28 2:53:33 PM MEZ","3","3","3","",""
"2024/10/28 2:53:35 PM MEZ","4","4","4","",""
"2024/10/28 2:53:45 PM MEZ","4","3","5","",""
"2024/10/28 2:53:47 PM MEZ","3","4","4","Mehr Farben (nicht nur schwarz auf weis)",""
"2024/10/28 2:53:50 PM MEZ","4","4","3","",""
"2024/10/28 2:53:51 PM MEZ","4","4","3","Nicht die Lösungen vor geben ",""
"2024/10/28 2:53:53 PM MEZ","1","2","3","",""
"2024/10/28 2:53:56 PM MEZ","4","3","4","",""
"2024/10/28 2:54:01 PM MEZ","3","5","4","",""
"2024/10/28 2:54:04 PM MEZ","4","4","3","The Layout could be designed a little more, a few more elements could be added. Also other types of learning, for example visual learning lessons can be included.",""
"2024/10/28 2:54:09 PM MEZ","5","3","3","more variability, maybe hide answers in the beginning and give the option to show them ",""
"2024/10/28 2:54:13 PM MEZ","2","2","3","mehr Antwortmöglichkeiten, es ist langweilig gehalten",""
"2024/10/28 2:54:13 PM MEZ","4","5","3","",""
"2024/10/28 2:54:18 PM MEZ","3","3","3","",""
"2024/10/28 2:54:31 PM MEZ","5","3","5","nicht gleich die Lösungsworte zeigen, Struktur ist gut und übersichtlich ",""
"2024/10/28 2:54:52 PM MEZ","4","5","3","Die Lösungen auch als Großschreibung akzeptieren (andere Schreibweisen allgemein) & nicht direkt anzeigen ob die ausgefüllten Lücken stimmen/falsch sind: man denkt nicht viel nach.",""
"2024/10/28 2:54:53 PM MEZ","3","5","3","Kreativer und ansprechender gestalten","Wörter beim Einsetzten nicht immer in richtiger Reihenfolge angeben, verschiedene Schreibweisen einführen (nicht nur Kleinschreibung), wissenschaftliche Belege fehlen"
"2024/10/28 2:55:01 PM MEZ","4","3","3","Ich fände anfangs vollständig Texte sinnvoll um sich in das Thema einzulesen und anschließend lückentexte und quize zu machen ",""
"2024/10/28 2:55:03 PM MEZ","4","5","4","Ich hab das Gefühl die lösungswörter sind nicht ganz durch, die müssen entweder präsenter sein oder weg gelassen werden. Dann wär aber wichtig das gross -Kleinschreibung egal ist.",""
"2024/10/28 2:55:04 PM MEZ","4","3","5","Die Antwortmöglichkeiten mischen, meistens war das Wort, das als erstes eingefügt wird zu erst und das letzte als Letztes","Wenn es möglich wäre auch farbliche Gestaltung "
"2024/10/28 2:55:15 PM MEZ","3","4","3","Layout of the textboxes (not visible)","Word to add where already in the correct order"
"2024/10/28 2:55:46 PM MEZ","2","2","4","",""
